drug_name,ndc_code,hcpcs_code,numerator_strength,mbu_increment,mbu_increments_per_bottle,mbus_per_package,package_quantity,ndc_unit_sum
Granix,63459-0910-17,J1447,300,1,300,300,1,300
Granix,63459-0910-36,J1447,300,1,300,300,5,1500
Granix,63459-0912-11,J1447,480,1,480,480,1,480
Granix,63459-0912-15,J1447,480,1,480,480,10,4800
Granix,63459-0912-17,J1447,480,1,480,480,1,480
Granix,63459-0912-36,J1447,480,1,480,480,5,2400
Granix,63459-0918-59,J1447,300,1,300,300,10,3000
Granix,63459-0920-59,J1447,480,1,480,480,10,4800
Halaven,62856-0389-01,J9179,0.5,0.1,10,1,1,1
Herceptin,50242-0132-01,J9355,150,10,15,150,1,150
Herceptin,50242-0132-10,J9355,150,10,15,150,10,1500
Herceptin,50242-0134-68,J9355,0,10,44,440,1,440
Herceptin,50242-0333-01,,0,,,,1,
Imfinzi,00310-4500-12,J9173,120,10,12,120,1,120
Imfinzi,00310-4611-50,J9173,500,10,50,500,1,500
Infed,00023-6082-10,J1750,50,50,2,100,10,1000
Infed,52544-0931-02,J1750,50,50,2,100,10,1000
Infed,52584-0086-01,,50,,,,1,
Infed,52584-0931-07,,50,,,,1,
Injectafer,00517-0650-01,J1439,50,1,750,750,1,750
Injectafer,00517-0650-02,J1439,50,1,750,750,2,1500
Jevtana,00024-5824-11,J9043,0,1,60,60,1,60
Kadcyla,50242-0087-01,J9354,20,1,160,160,1,160
Kadcyla,50242-0088-01,J9354,20,1,100,100,1,100
Kanjinti,55513-0132-01,Q5117,420,10,42,420,1,420
Keytruda,00006-3026-02,J9271,25,1,100,100,1,100
Keytruda,00006-3026-04,,25,,,,2,
Keytruda,00006-3029-02,J9271,50,1,50,50,1,50
Kyprolis,76075-0101-01,J9047,60,1,60,60,1,60
Kyprolis,76075-0102-01,J9047,30,1,30,30,1,30
Kyprolis,76075-0103-01,J9047,10,1,10,10,1,10
Leucovorin,68001-0285-36,J0640,10,50,2,100,1,100
Leucovorin,68001-0285-37,J0640,10,50,4,200,1,200
Leucovorin,68001-0285-40,J0640,10,50,1,50,10,500
Leucovorin,68001-0286-38,J0640,20,50,7,350,1,350
Magnesium Sulfate,00409-1754-10,J3475,500,500,10,5000,10,50000
Magnesium Sulfate,00409-2168-02,J3475,500,500,20,10000,25,250000
Magnesium Sulfate,00409-6729-03,,4,,,,24,
Magnesium Sulfate,00409-6729-09,,4,,,,12,
Magnesium Sulfate,00409-6729-23,,4,,,,24,
Magnesium Sulfate,00409-6729-24,,4,,,,24,
Magnesium Sulfate,00409-6730-13,,4,,,,24,
Magnesium Sulfate,44567-0410-24,J3475,1,500,2,1000,24,24000
Magnesium Sulfate,44567-0420-24,J3475,2,500,4,2000,24,48000
Magnesium Sulfate,44567-0421-24,J3475,4,500,8,4000,24,96000
Magnesium Sulfate,44567-0422-24,,20,,,,24,
Magnesium Sulfate,44567-0423-10,,40,,,,10,
Magnesium Sulfate,44567-0424-24,,4,,,,24,
Magnesium Sulfate,50090-3323-00,,40,,,,50,
Magnesium Sulfate,51662-1352-01,,4,,,,50,
Magnesium Sulfate,51754-1000-04,J3475,500,500,10,5000,25,125000
Magnesium Sulfate,52533-0099-29,,20,,,,500,
Magnesium Sulfate,52533-0107-38,,20,,,,250,
Magnesium Sulfate,52584-0064-01,,500,,,,1,
Magnesium Sulfate,52584-0064-02,,500,,,,1,
Magnesium Sulfate,52584-0642-20,,500,,,,1,
Magnesium Sulfate,52584-0754-10,,500,,,,1,
Magnesium Sulfate,55154-9358-05,,500,,,,5,
Magnesium Sulfate,55154-9358-08,,500,,,,1,
Magnesium Sulfate,63323-0064-02,J3475,500,500,2,1000,25,25000
Magnesium Sulfate,63323-0064-03,J3475,500,500,2,1000,25,25000
Magnesium Sulfate,63323-0064-10,J3475,500,500,10,5000,25,125000
Magnesium Sulfate,63323-0064-11,J3475,500,500,10,5000,25,125000
Magnesium Sulfate,63323-0064-23,J3475,500,500,2,1000,25,25000
Magnesium Sulfate,63323-0064-26,J3475,500,500,2,1000,25,25000
Magnesium Sulfate,63323-0064-43,J3475,500,500,2,1000,25,25000
Magnesium Sulfate,63323-0106-01,J3475,40,500,8,4000,100,400000
Magnesium Sulfate,63323-0106-05,J3475,40,500,4,2000,50,100000
Magnesium Sulfate,63323-0106-10,J3475,40,500,80,40000,1000,40000000
Magnesium Sulfate,63323-0106-15,J3475,40,500,40,20000,500,10000000
Magnesium Sulfate,63323-0106-26,J3475,40,500,4,2000,50,100000
Magnesium Sulfate,63323-0107-05,J3475,80,500,8,4000,50,200000
Magnesium Sulfate,63323-0642-20,J3475,500,500,20,10000,25,250000
Magnesium Sulfate,63323-0642-50,J3475,500,500,50,25000,25,625000
Magnesium Sulfate,66298-1060-03,,40,,,,50,
Magnesium Sulfate,66298-1060-04,,40,,,,50,
Magnesium Sulfate,66298-1060-05,,40,,,,500,
Magnesium Sulfate,66298-1060-06,,40,,,,1000,
Magnesium Sulfate,66298-1070-05,,80,,,,50,
Magnesium Sulfate,70518-0950-00,,500,,,,2,
Magnesium Sulfate,70518-1607-00,,500,,,,25,
Magnesium Sulfate,71872-7055-01,,500,,,,1,
Magnesium Sulfate,71872-7142-01,,500,,,,1,
Mvasi,55513-0206-01,Q5107,100,10,10,100,1,100
Mvasi,55513-0207-01,Q5107,400,10,40,400,1,400
Neulasta,55513-0190-01,J2505,6,6,1,6,1,6
Neulasta,55513-0192-01,J2505,6,6,1,6,1,6
Neupogen,55513-0209-10,J1442,480,1,480,480,10,4800
Neupogen,55513-0209-91,J1442,480,1,480,480,0.8,0
Neupogen,55513-0530-10,J1442,300,1,300,300,10,3000
Neupogen,55513-0546-10,J1442,480,1,480,480,10,4800
Neupogen,55513-0924-10,J1442,300,1,300,300,10,3000
Neupogen,55513-0924-91,J1442,300,1,300,300,0.5,0
Nivestym,00069-0291-01,Q5110,300,1,300,300,1,300
Nivestym,00069-0291-10,Q5110,300,1,300,300,10,3000
Nivestym,00069-0292-01,Q5110,480,1,480,480,1,480
Nivestym,00069-0292-10,Q5110,480,1,480,480,10,4800
Nivestym,00069-0293-10,Q5110,300,1,300,300,10,3000
Nivestym,00069-0294-10,Q5110,480,1,480,480,10,4800
Nplate,55513-0221-01,J2796,250,10,25,250,1,250
Nplate,55513-0222-01,J2796,500,10,50,500,1,500
Nplate,55513-0223-01,,125,,,,1,
Ondansetron,00143-9890-01,J2405,2,1,40,40,20,800
Ondansetron,00143-9890-10,J2405,2,1,40,40,10,400
Ondansetron,00143-9891-25,,2,,,,25,
Ondansetron,00409-1120-12,J2405,2,1,4,4,10,40
Ondansetron,00409-4755-03,J2405,2,1,4,4,25,100
Ondansetron,00409-4759-01,J2405,2,1,40,40,1,40
Ondansetron,00641-6078-25,J2405,2,1,4,4,25,100
Ondansetron,00641-6079-01,J2405,2,1,40,40,20,800
Ondansetron,00641-6080-25,J2405,2,1,4,4,25,100
Ondansetron,16729-0297-83,J2405,2,1,4,4,5,20
Ondansetron,16729-0298-05,J2405,2,1,40,40,20,800
Ondansetron,23155-0547-41,J2405,2,1,4,4,10,40
Ondansetron,23155-0547-42,J2405,2,1,4,4,25,100
Ondansetron,23155-0548-41,J2405,2,1,4,4,10,40
Ondansetron,23155-0548-42,J2405,2,1,4,4,25,100
Ondansetron,23155-0549-31,J2405,2,1,40,40,1,40
Ondansetron,23155-0550-31,J2405,2,1,40,40,1,40
Ondansetron,25021-0777-02,J2405,2,1,4,4,25,100
Ondansetron,25021-0782-20,J2405,2,1,40,40,1,40
Ondansetron,50090-3839-00,,2,,,,25,
Ondansetron,51662-1245-01,,2,,,,2,
Ondansetron,52584-0069-00,,2,,,,1,
Ondansetron,55150-0125-02,J2405,2,1,4,4,25,100
Ondansetron,55150-0126-20,J2405,2,1,40,40,1,40
Ondansetron,55154-2876-05,,2,,,,5,
Ondansetron,55154-2877-05,,2,,,,5,
Ondansetron,55154-8329-05,,2,,,,5,
Ondansetron,60505-6130-05,J2405,2,1,4,4,25,100
Ondansetron,63323-0373-02,J2405,2,1,4,4,25,100
Ondansetron,63323-0374-20,J2405,2,1,40,40,1,40
Ondansetron,65293-0373-25,J2405,2,1,4,4,25,100
Ondansetron,65293-0374-01,J2405,2,1,40,40,1,40
Ondansetron,67184-0507-05,,2,,,,5,
Ondansetron,68071-4191-02,,2,,,,2,
Ondansetron,68071-4810-02,,2,,,,2,
Ondansetron,68083-0113-01,,2,,,,5,
Ondansetron,68083-0114-01,,2,,,,1,
Ondansetron,70518-1422-00,,2,,,,25,
Ondansetron,70860-0776-02,J2405,2,1,4,4,25,100
Ondansetron,70860-0777-20,J2405,2,1,40,40,1,40
Ondansetron,71872-7068-01,,2,,,,1,
Ondansetron,71872-7069-01,,2,,,,1,
Ondansetron,71872-7107-01,,2,,,,1,
Ondansetron,71872-7140-01,,2,,,,1,
Ondansetron,71872-7162-01,,2,,,,1,
Ondansetron,72266-0123-25,,2,,,,25,
Ondansetron,72266-0124-01,,2,,,,1,
Ondansetron,76045-0103-20,J2405,4,1,4,4,24,96
Onivyde,15054-0043-01,J9205,4.3,1,43,43,1,43
Onivyde,69171-0398-01,J9205,4.3,1,43,43,10,430
Opdivo,00003-3734-13,J9299,10,1,240,240,1,240
Opdivo,00003-3772-11,J9299,10,1,40,40,1,40
Opdivo,00003-3774-12,J9299,10,1,100,100,1,100
Oxaliplatin,00703-3985-01,J9263,50,0.5,100,50,1,50
Oxaliplatin,00703-3986-01,J9263,100,0.5,200,100,1,100
Oxaliplatin,00781-3315-70,J9263,5,0.5,100,50,1,50
Oxaliplatin,00781-3317-80,J9263,5,0.5,200,100,1,100
Oxaliplatin,00781-9315-70,J9263,5,0.5,100,50,1,50
Oxaliplatin,00781-9317-80,J9263,5,0.5,200,100,1,100
Oxaliplatin,00955-1725-10,J9263,5,0.5,100,50,1,50
Oxaliplatin,00955-1727-20,J9263,5,0.5,200,100,1,100
Oxaliplatin,00955-1731-10,J9263,5,0.5,100,50,1,50
Oxaliplatin,00955-1733-20,J9263,5,0.5,200,100,1,100
Oxaliplatin,16714-0727-01,J9263,5,0.5,100,50,1,50
Oxaliplatin,16714-0728-01,J9263,5,0.5,200,100,1,100
Oxaliplatin,16729-0332-03,J9263,5,0.5,100,50,1,50
Oxaliplatin,16729-0332-05,J9263,5,0.5,200,100,1,100
Oxaliplatin,25021-0233-10,J9263,5,0.5,100,50,1,50
Oxaliplatin,25021-0233-20,J9263,5,0.5,200,100,1,100
Oxaliplatin,43066-0014-01,J9263,5,0.5,100,50,1,50
Oxaliplatin,43066-0018-01,J9263,5,0.5,200,100,1,100
Oxaliplatin,45963-0611-53,J9263,5,0.5,100,50,1,50
Oxaliplatin,45963-0611-59,J9263,5,0.5,200,100,1,100
Oxaliplatin,45963-0637-49,J9263,5,0.5,100,50,1,50
Oxaliplatin,45963-0638-58,J9263,5,0.5,200,100,1,100
Oxaliplatin,47335-0046-40,J9263,50,0.5,100,50,1,50
Oxaliplatin,47335-0047-40,J9263,100,0.5,200,100,1,100
Oxaliplatin,47335-0176-40,J9263,50,0.5,100,50,1,50
Oxaliplatin,47335-0178-40,J9263,100,0.5,200,100,1,100
Oxaliplatin,47781-0591-22,J9263,5,0.5,100,50,1,50
Oxaliplatin,47781-0592-29,J9263,5,0.5,200,100,1,100
Oxaliplatin,50742-0405-10,J9263,50,0.5,100,50,1,50
Oxaliplatin,50742-0406-20,J9263,100,0.5,200,100,1,100
Oxaliplatin,51991-0218-98,J9263,50,0.5,100,50,1,50
Oxaliplatin,51991-0219-98,J9263,100,0.5,200,100,1,100
Oxaliplatin,51991-0922-98,J9263,50,0.5,100,50,1,50
Oxaliplatin,51991-0923-98,J9263,100,0.5,200,100,1,100
Oxaliplatin,57277-0001-05,,5,,,,1,
Oxaliplatin,57277-0002-10,,5,,,,1,
Oxaliplatin,60505-6132-06,J9263,5,0.5,100,50,1,50
Oxaliplatin,60505-6132-07,J9263,5,0.5,200,100,1,100
Oxaliplatin,61703-0363-18,J9263,5,0.5,100,50,1,50
Oxaliplatin,61703-0363-22,J9263,5,0.5,200,100,1,100
Oxaliplatin,63323-0750-10,J9263,5,0.5,100,50,1,50
Oxaliplatin,63323-0750-20,J9263,5,0.5,200,100,1,100
Oxaliplatin,67184-0508-01,,50,,,,1,
Oxaliplatin,67184-0509-01,,100,,,,1,
Oxaliplatin,67184-0510-01,,200,,,,1,
Oxaliplatin,67457-0442-20,J9263,5,0.5,200,100,1,100
Oxaliplatin,67457-0469-10,J9263,5,0.5,100,50,1,50
Oxaliplatin,68001-0341-36,J9263,5,0.5,100,50,1,50
Oxaliplatin,68001-0341-37,J9263,5,0.5,200,100,1,100
Oxaliplatin,68083-0170-01,,50,,,,10,
Oxaliplatin,68083-0171-01,,100,,,,20,
Oxaliplatin,68083-0176-01,,5,,,,1,
Oxaliplatin,68083-0177-01,,5,,,,1,
Oxaliplatin,68083-0314-01,,5,,,,1,
Oxaliplatin,69097-0274-37,,5,,,,1,
Oxaliplatin,69097-0353-78,,5,,,,1,
Oxaliplatin,70860-0201-10,J9263,5,0.5,100,50,1,50
Oxaliplatin,70860-0201-20,J9263,5,0.5,200,100,1,100
Oxaliplatin,71288-0101-10,,5,,,,1,
Oxaliplatin,71288-0101-20,,5,,,,1,
Oxaliplatin,72266-0125-01,,5,,,,1,
Oxaliplatin,72266-0125-10,,5,,,,10,
Oxaliplatin,72266-0126-01,,5,,,,1,
Oxaliplatin,72266-0126-10,,5,,,,10,
Oxaliplatin,72603-0101-01,,5,,,,1,
Oxaliplatin,72603-0301-01,,5,,,,1,
Paclitaxel,00703-4764-01,J9267,6,1,30,30,1,30
Paclitaxel,00703-4764-81,J9267,6,1,30,30,1,30
Paclitaxel,00703-4766-01,J9267,6,1,100,100,1,100
Paclitaxel,00703-4766-81,J9267,6,1,100,100,1,100
Paclitaxel,00703-4767-01,J9267,6,1,150,150,1,150
Paclitaxel,00703-4768-01,J9267,6,1,300,300,1,300
Paclitaxel,00703-4768-81,J9267,6,1,300,300,1,300
Paclitaxel,44567-0504-01,,6,,,,1,
Paclitaxel,44567-0505-01,J9267,6,1,100,100,1,100
Paclitaxel,44567-0506-01,J9267,6,1,300,300,1,300
Paclitaxel,45963-0613-53,J9267,6,1,100,100,1,100
Paclitaxel,45963-0613-56,J9267,6,1,30,30,1,30
Paclitaxel,45963-0613-59,J9267,6,1,300,300,1,300
Paclitaxel,45963-0613-83,J9267,6,1,100,100,1,100
Paclitaxel,45963-0613-86,J9267,6,1,30,30,1,30
Paclitaxel,45963-0613-89,J9267,6,1,300,300,1,300
Paclitaxel,47781-0593-07,J9267,30,1,30,30,1,30
Paclitaxel,47781-0594-07,J9267,100,1,100,100,1,100
Paclitaxel,47781-0595-07,J9267,300,1,300,300,1,300
Paclitaxel,51991-0936-98,J9267,30,1,30,30,1,30
Paclitaxel,51991-0937-98,J9267,100,1,100,100,1,100
Paclitaxel,51991-0938-98,J9267,300,1,300,300,1,300
Paclitaxel,61703-0342-09,J9267,6,1,30,30,1,30
Paclitaxel,61703-0342-22,J9267,6,1,100,100,1,100
Paclitaxel,61703-0342-50,J9267,6,1,300,300,1,300
Paclitaxel,63323-0763-05,J9267,6,1,30,30,1,30
Paclitaxel,63323-0763-06,J9267,6,1,30,30,1,30
Paclitaxel,63323-0763-16,J9267,6,1,100,100,1,100
Paclitaxel,63323-0763-17,J9267,6,1,100,100,1,100
Paclitaxel,63323-0763-50,J9267,6,1,300,300,1,300
Paclitaxel,63323-0763-52,J9267,6,1,300,300,1,300
Paclitaxel,66758-0043-01,,6,,,,1,
Paclitaxel,66758-0043-02,,6,,,,1,
Paclitaxel,66758-0043-03,,6,,,,1,
Paclitaxel,67457-0434-51,J9267,300,1,300,300,1,300
Paclitaxel,67457-0449-17,J9267,100,1,100,100,1,100
Paclitaxel,67457-0471-52,J9267,30,1,30,30,1,30
Paclitaxel,68083-0178-01,,6,,,,1,
Paclitaxel,68083-0179-01,,6,,,,1,
Paclitaxel,68083-0180-01,,6,,,,1,
Paclitaxel,70860-0200-05,J9267,6,1,30,30,1,30
Paclitaxel,70860-0200-17,J9267,6,1,100,100,1,100
Paclitaxel,70860-0200-50,J9267,6,1,300,300,1,300
Palonosetron,16714-0834-01,J2469,0.05,25,10,250,1,250
Palonosetron,55111-0694-07,J2469,0.05,25,10,250,1,250
Palonosetron,55111-0694-19,,0.05,,,,5,
Palonosetron,60505-6193-01,J2469,0.25,25,10,250,1,250
Palonosetron,63323-0673-05,J2469,0.25,25,10,250,1,250
Palonosetron,63323-0673-89,J2469,0.25,25,10,250,10,2500
Palonosetron,63323-0942-05,J2469,0.25,25,10,250,10,2500
Palonosetron,63323-0942-90,,0.25,,,,10,
Palonosetron,67184-0514-01,,0.25,,,,1,
Palonosetron,67184-0515-02,,0.075,,,,5,
Palonosetron,68001-0355-25,J2469,0.05,25,10,250,1,250
Perjeta,50242-0145-01,J9306,30,1,420,420,1,420
Potassium Chloride,00264-1940-20,J3480,14.9,2,250,500,12,6000
Potassium Chloride,00338-0703-41,J3480,29.8,2,10,20,24,480
Potassium Chloride,00338-0703-48,J3480,29.8,2,20,40,24,960
Potassium Chloride,00338-0705-41,J3480,14.9,2,5,10,24,240
Potassium Chloride,00338-0705-48,J3480,14.9,2,10,20,24,480
Potassium Chloride,00338-0707-48,,22.4,,,,24,
Potassium Chloride,00338-0709-48,J3480,7.46,2,5,10,24,240
Potassium Chloride,00409-6635-01,J3480,149,2,5,10,25,250
Potassium Chloride,00409-6651-06,J3480,149,2,10,20,25,500
Potassium Chloride,00409-6653-05,J3480,149,2,20,40,25,1000
Potassium Chloride,00409-7074-26,J3480,10,2,5,10,24,240
Potassium Chloride,00409-7075-14,J3480,200,2,5,10,24,240
Potassium Chloride,00409-7075-26,J3480,200,2,10,20,24,480
Potassium Chloride,00409-7076-26,,30,,,,24,
Potassium Chloride,00409-7077-14,J3480,400,2,10,20,24,480
Potassium Chloride,00409-7077-26,J3480,400,2,20,40,24,960
Potassium Chloride,00990-7074-26,,10,,,,24,
Potassium Chloride,00990-7075-14,,200,,,,24,
Potassium Chloride,00990-7075-26,,200,,,,24,
Potassium Chloride,00990-7077-14,,400,,,,24,
Potassium Chloride,52584-0651-06,,149,,,,1,
Potassium Chloride,52584-0653-05,,149,,,,1,
Potassium Chloride,52584-0965-05,,2,,,,1,
Potassium Chloride,55154-2367-08,,149,,,,1,
Potassium Chloride,55154-6999-08,,149,,,,1,
Potassium Chloride,63323-0965-05,J3480,2,2,5,10,25,250
Potassium Chloride,63323-0965-10,J3480,2,2,10,20,25,500
Potassium Chloride,63323-0965-20,J3480,2,2,20,40,25,1000
Potassium Chloride,63323-0967-30,J3480,2,2,30,60,25,1500
Potassium Chloride,72439-0500-10,,149,,,,10,
Procrit,59676-0302-01,Q4081,2000,100,20,2000,6,12000
Procrit,59676-0303-01,Q4081,3000,100,30,3000,6,18000
Procrit,59676-0304-01,Q4081,4000,100,40,4000,6,24000
Procrit,59676-0310-01,Q4081,10000,100,100,10000,6,60000
Procrit,59676-0310-02,Q4081,10000,100,100,10000,25,250000
Procrit,59676-0312-04,J0885,10000,1000,20,20000,4,80000
Procrit,59676-0320-04,Q4081,20000,100,200,20000,4,80000
Procrit,59676-0340-01,Q4081,40000,100,400,40000,4,160000
Prolia,55513-0710-01,J0897,60,1,60,60,1,60
Ranitidine,67457-0397-99,J2780,25,25,2,50,10,500
Ranitidine,67457-0398-62,J2780,25,25,6,150,1,150
Retacrit,00069-1305-10,Q5105,2000,100,20,2000,10,20000
Retacrit,00069-1306-10,Q5105,3000,100,30,3000,10,30000
Retacrit,00069-1307-10,Q5106,4000,1000,4,4000,10,40000
Retacrit,00069-1308-10,Q5105,10000,100,100,10000,10,100000
Retacrit,00069-1309-04,Q5106,40000,1000,40,40000,4,160000
Retacrit,00069-1309-10,Q5106,40000,1000,40,40000,10,400000
Retacrit,59353-0002-10,Q5105,2000,100,20,2000,10,20000
Retacrit,59353-0003-10,Q5105,3000,100,30,3000,10,30000
Retacrit,59353-0004-10,Q5105,4000,100,40,4000,10,40000
Retacrit,59353-0010-10,Q5105,10000,100,100,10000,10,100000
Rituxan,50242-0051-10,J9312,10,10,10,100,10,1000
Rituxan,50242-0051-21,J9312,10,10,10,100,1,100
Rituxan,50242-0053-06,J9312,10,10,50,500,1,500
Rituxan Hycela,50242-0108-01,J9311,140,10,140,1400,1,1400
Rituxan Hycela,50242-0108-86,,140,,,,1,
Rituxan Hycela,50242-0109-01,J9311,160,10,160,1600,1,1600
Sandostatin,00078-0180-01,J2354,50,25,2,50,10,500
Sandostatin,00078-0181-01,J2354,100,25,4,100,10,1000
Sandostatin,00078-0182-01,J2354,500,25,20,500,10,5000
Sandostatin,00078-0183-25,J2354,200,25,40,1000,1,1000
Sandostatin,00078-0184-25,J2354,1000,25,200,5000,1,5000
Sodium Chloride,00019-1188-27,,0.9,,,,20,
Sodium Chloride,00019-1188-75,,0.9,,,,10,
Sodium Chloride,00019-1188-81,,0.9,,,,20,
Sodium Chloride,00264-1800-31,,9,,,,84,
Sodium Chloride,00264-1800-32,,9,,,,64,
Sodium Chloride,00264-1800-36,,9,,,,116,
Sodium Chloride,00264-7800-00,J7030,0.9,1000,1,1000,12,12000
Sodium Chloride,00264-7800-01,J7030,0.9,1000,0.5,500,10,5000
Sodium Chloride,00264-7800-09,J7050,0.9,250,4,1000,12,12000
Sodium Chloride,00264-7800-10,J7030,0.9,1000,0.5,500,24,12000
Sodium Chloride,00264-7800-20,J7050,0.9,250,1,250,24,6000
Sodium Chloride,00264-7800-90,,0.9,,,,10,
Sodium Chloride,00264-7802-00,,0.45,,,,12,
Sodium Chloride,00264-7802-10,,0.45,,,,24,
Sodium Chloride,00264-7805-10,,3,,,,24,
Sodium Chloride,00264-7806-10,,5,,,,24,
Sodium Chloride,00264-9375-88,,9,,,,10,
Sodium Chloride,00264-9999-00,,900,,,,10,
Sodium Chloride,00264-9999-10,J7030,450,1000,0.5,500,10,5000
Sodium Chloride,00338-0043-03,,4.5,,,,500,
Sodium Chloride,00338-0043-04,,4.5,,,,1000,
Sodium Chloride,00338-0049-01,,9,,,,150,
Sodium Chloride,00338-0049-02,J7030,9,1000,0.25,250,250,62500
Sodium Chloride,00338-0049-03,J7030,9,1000,0.5,500,500,250000
Sodium Chloride,00338-0049-04,J7030,9,1000,1,1000,1000,1000000
Sodium Chloride,00338-0049-10,,9,,,,4,
Sodium Chloride,00338-0049-11,,9,,,,4,
Sodium Chloride,00338-0049-18,,9,,,,4,
Sodium Chloride,00338-0049-31,,9,,,,16,
Sodium Chloride,00338-0049-38,,9,,,,16,
Sodium Chloride,00338-0049-41,,9,,,,1,
Sodium Chloride,00338-0049-48,,9,,,,1,
Sodium Chloride,00338-0054-03,,3,,,,24,
Sodium Chloride,00338-0056-03,,5,,,,24,
Sodium Chloride,00338-0553-11,,900,,,,50,
Sodium Chloride,00338-0553-18,,900,,,,100,
Sodium Chloride,00338-9151-30,,900,,,,50,
Sodium Chloride,00338-9159-30,,900,,,,100,
Sodium Chloride,00338-9517-16,J7030,900,1000,1,1000,16,16000
Sodium Chloride,00338-9517-30,J7040,900,500,1,500,30,15000
Sodium Chloride,00338-9517-50,J7040,900,500,0.5,250,50,12500
Sodium Chloride,00338-9517-72,,900,,,,72,
Sodium Chloride,00338-9520-11,,0.9,,,,116,
Sodium Chloride,00338-9525-72,,0.9,,,,72,
Sodium Chloride,00338-9529-70,,450,,,,70,
Sodium Chloride,00338-9531-96,,900,,,,96,
Sodium Chloride,00338-9535-72,,900,,,,72,
Sodium Chloride,00338-9537-50,,900,,,,50,
Sodium Chloride,00338-9543-01,,9,,,,250,
Sodium Chloride,00338-9543-02,J7030,9,1000,0.25,250,250,62500
Sodium Chloride,00338-9543-03,,9,,,,500,
Sodium Chloride,00338-9543-04,J7050,9,250,2,500,500,250000
Sodium Chloride,00338-9543-05,,9,,,,1000,
Sodium Chloride,00338-9543-06,J7050,9,250,4,1000,1000,1000000
Sodium Chloride,00338-9546-50,,0.45,,,,75,
Sodium Chloride,00338-9550-50,,0.9,,,,50,
Sodium Chloride,00338-9563-48,,900,,,,48,
Sodium Chloride,00338-9567-60,,450,,,,60,
Sodium Chloride,00338-9579-96,,9,,,,96,
Sodium Chloride,00338-9583-96,,9,,,,96,
Sodium Chloride,00338-9604-30,,900,,,,30,
Sodium Chloride,00338-9608-24,,900,,,,24,
Sodium Chloride,00338-9612-12,,900,,,,12,
Sodium Chloride,00338-9616-30,,900,,,,30,
Sodium Chloride,00409-1141-02,,234,,,,25,
Sodium Chloride,00409-1918-32,,9,,,,50,
Sodium Chloride,00409-1918-33,,9,,,,25,
Sodium Chloride,00409-1918-35,,9,,,,25,
Sodium Chloride,00409-4888-10,,9,,,,25,
Sodium Chloride,00409-4888-12,,9,,,,25,
Sodium Chloride,00409-4888-20,,9,,,,25,
Sodium Chloride,00409-4888-50,,9,,,,25,
Sodium Chloride,00409-6660-75,,5.84,,,,25,
Sodium Chloride,00409-7101-02,J7040,900,500,0.5,250,24,6000
Sodium Chloride,00409-7101-66,,900,,,,10,
Sodium Chloride,00409-7101-67,,900,,,,10,
Sodium Chloride,00409-7132-02,,450,,,,24,
Sodium Chloride,00409-7132-66,,450,,,,10,
Sodium Chloride,00409-7132-67,,450,,,,10,
Sodium Chloride,00409-7730-20,,450,,,,12,
Sodium Chloride,00409-7730-36,,450,,,,20,
Sodium Chloride,00409-7730-37,,450,,,,20,
Sodium Chloride,00409-7983-02,J7040,900,500,0.5,250,24,6000
Sodium Chloride,00409-7983-03,J7030,900,1000,0.5,500,24,12000
Sodium Chloride,00409-7983-09,J7030,900,1000,1,1000,12,12000
Sodium Chloride,00409-7983-25,J7050,900,250,1,250,24,6000
Sodium Chloride,00409-7983-53,J7040,900,500,0.5,250,24,6000
Sodium Chloride,00409-7983-55,J7040,900,500,1,500,18,9000
Sodium Chloride,00409-7983-61,,900,,,,32,
Sodium Chloride,00409-7984-06,,900,,,,60,
Sodium Chloride,00409-7984-11,,900,,,,60,
Sodium Chloride,00409-7984-13,,900,,,,48,
Sodium Chloride,00409-7984-20,,900,,,,12,
Sodium Chloride,00409-7984-23,,900,,,,48,
Sodium Chloride,00409-7984-36,,900,,,,20,
Sodium Chloride,00409-7984-37,,900,,,,20,
Sodium Chloride,00409-7985-02,,450,,,,24,
Sodium Chloride,00409-7985-03,,450,,,,24,
Sodium Chloride,00409-7985-09,,450,,,,12,
Sodium Chloride,00409-7985-25,,450,,,,24,
Sodium Chloride,00487-9301-03,,0.027,,,,100,
Sodium Chloride,00487-9301-33,,0.027,,,,30,
Sodium Chloride,00517-2810-25,,9,,,,25,
Sodium Chloride,00641-0497-25,,9,,,,25,
Sodium Chloride,00641-1512-36,,9,,,,100,
Sodium Chloride,00641-6144-25,,9,,,,25,
Sodium Chloride,00990-7983-02,,900,,,,24,
Sodium Chloride,00990-7983-25,,900,,,,24,
Sodium Chloride,00990-7984-06,,900,,,,60,
Sodium Chloride,00990-7984-13,,900,,,,48,
Sodium Chloride,00990-7984-23,,900,,,,48,
Sodium Chloride,00990-7984-36,,900,,,,20,
Sodium Chloride,00990-7984-37,,900,,,,20,
Sodium Chloride,17271-0700-02,,450,,,,60,
Sodium Chloride,17271-0700-03,,450,,,,50,
Sodium Chloride,17271-0700-05,,450,,,,30,
Sodium Chloride,17271-0700-06,,450,,,,20,
Sodium Chloride,17271-0700-07,,450,,,,10,
Sodium Chloride,17271-0701-02,,9,,,,50,
Sodium Chloride,17271-0701-03,,9,,,,100,
Sodium Chloride,17271-0701-05,,9,,,,250,
Sodium Chloride,17271-0701-06,,9,,,,500,
Sodium Chloride,17271-0701-07,,9,,,,1000,
Sodium Chloride,46163-0300-10,,900,,,,12,
